"","date","state.abbr","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","dateModified","checkTimeEt","death","dateChecked","hash","state","Positive_Increase"
"57",2020-06-29,"AK",904,107805,NA,16,NA,NA,NA,1,NA,525,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",14,"2020-06-29T00:00:00Z","a86a3dc4bfbba3e423434858dd4e5230e6ba9753","Alaska",36
"58",2020-06-29,"AL",37175,356118,NA,715,2725,NA,801,NA,457,18866,"6/29/2020 11:00","2020-06-29T11:00:00Z","06/29 07:00",929,"2020-06-29T11:00:00Z","de21472ac462718d75201c8e93e01f28b9542e9f","Alabama",870
"59",2020-06-29,"AR",20257,282279,NA,300,1380,NA,NA,63,211,14066,"6/29/2020 14:36","2020-06-29T14:36:00Z","06/29 10:36",265,"2020-06-29T14:36:00Z","6485f0b6af19d7d02d56b471d22c9095e38dd696","Arkansas",520
"60",2020-06-29,"AS",0,696,NA,NA,NA,NA,NA,NA,NA,NA,"6/27/2020 00:00","2020-06-27T00:00:00Z","06/26 20:00",0,"2020-06-27T00:00:00Z","eb59d7d99c77b168f8869581b58a5fec9dc91f8d","American Samoa",0
"61",2020-06-29,"AZ",74533,436890,NA,2721,4634,679,NA,465,NA,9179,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",1588,"2020-06-29T00:00:00Z","7be4a47c695495c39660118ec049f17bb8199320","Arizona",4682
"62",2020-06-29,"CA",216550,3845142,NA,6179,NA,1686,NA,NA,NA,NA,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",5936,"2020-06-29T00:00:00Z","d918fe2bec89ee580b3a0168b22abfb173eb885c","California",6367
"63",2020-06-29,"CO",32307,287258,NA,234,5401,NA,NA,NA,NA,4459,"6/28/2020 00:00","2020-06-28T00:00:00Z","06/27 20:00",1676,"2020-06-28T00:00:00Z","650922fc4f51773431e6be5a5a84d2448209af4b","Colorado",204
"64",2020-06-29,"CT",46362,398614,NA,99,10268,NA,NA,NA,NA,8053,"6/28/2020 20:30","2020-06-28T20:30:00Z","06/28 16:30",4320,"2020-06-28T20:30:00Z","e7c39e822d13d0acf600102438ce171fca1849fd","Connecticut",152
"65",2020-06-29,"DC",10292,85068,NA,121,NA,34,NA,23,NA,1200,"6/28/2020 00:00","2020-06-28T00:00:00Z","06/27 20:00",551,"2020-06-28T00:00:00Z","74ff54373490ffb9e3d1884194350095051efff7","District of Columbia",35
"66",2020-06-29,"DE",11376,98555,NA,72,NA,15,NA,NA,NA,6665,"6/28/2020 18:00","2020-06-28T18:00:00Z","06/28 14:00",507,"2020-06-28T18:00:00Z","ee8a96e57e37b857e6878a1394ec1cf587985a5b","Delaware",98
"67",2020-06-29,"FL",146341,1766402,1744,NA,14651,NA,NA,NA,NA,NA,"6/28/2020 23:59","2020-06-28T23:59:00Z","06/28 19:59",3546,"2020-06-28T23:59:00Z","9bc87820fe285eeb8632ab745cb173e291dea4d0","Florida",6093
"68",2020-06-29,"GA",79417,743700,NA,1359,10824,NA,2289,NA,NA,NA,"6/29/2020 14:50","2020-06-29T14:50:00Z","06/29 10:50",2784,"2020-06-29T14:50:00Z","21da0b3f2e2887ddafe7ff6af062c1e1033315de","Georgia",1874
"69",2020-06-29,"GU",255,12659,NA,0,NA,NA,NA,NA,NA,179,"6/29/2020 07:30","2020-06-29T07:30:00Z","06/29 03:30",5,"2020-06-29T07:30:00Z","1069326d7d787c06a24523eaf0579f5a6c229ec8","Guam",4
"70",2020-06-29,"HI",899,76256,NA,NA,111,NA,NA,NA,NA,719,"6/28/2020 18:00","2020-06-28T18:00:00Z","06/28 14:00",18,"2020-06-28T18:00:00Z","ae2a55c266afdb7a2bf008c3697e368034830234","Hawaii",1
"71",2020-06-29,"IA",28782,272063,NA,119,NA,35,NA,18,NA,17851,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",708,"2020-06-29T00:00:00Z","4ab881ce502ce466527719ac2cf9343826212f52","Iowa",225
"72",2020-06-29,"ID",5319,81026,NA,NA,312,NA,111,NA,NA,3898,"6/27/2020 19:00","2020-06-27T19:00:00Z","06/27 15:00",91,"2020-06-27T19:00:00Z","e60d188c12ecef77e9ee07a16774040455a57517","Idaho",433
"73",2020-06-29,"IL",143514,1429435,NA,1501,NA,372,NA,187,NA,NA,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",7103,"2020-06-29T00:00:00Z","5d7c2f2b8f321911183d90d4d23c7c1be722d69d","Illinois",724
"74",2020-06-29,"IN",45228,431291,NA,626,7024,265,1469,85,NA,34348,"6/28/2020 23:59","2020-06-28T23:59:00Z","06/28 19:59",2624,"2020-06-28T23:59:00Z","2832b4c8a704099cfc0efeac82fbb07179a50fd3","Indiana",366
"75",2020-06-29,"KS",14443,162282,NA,NA,1152,NA,360,NA,152,794,"6/29/2020 10:00","2020-06-29T10:00:00Z","06/29 06:00",270,"2020-06-29T10:00:00Z","3e799b5b4f427ef74f7753c6bad8bb641a7dbf62","Kansas",0
"76",2020-06-29,"KY",15347,346094,NA,381,2602,69,999,NA,NA,3939,"6/29/2020 00:00","2020-06-29T00:00:00Z","06/28 20:00",560,"2020-06-29T00:00:00Z","348fde14549ebca6d3805f297cd4fb93ed61ab38","Kentucky",277
